season,venue,batting_team,bowling_team,final_score
2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,207
2017,Maharashtra Cricket Association Stadium,Mumbai Indians,Rising Pune Supergiant,184
2017,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,183
2017,Holkar Cricket Stadium,Rising Pune Supergiant,Kings XI Punjab,163
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,157
2017,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,135
2017,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,178
2017,Holkar Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,148
2017,Maharashtra Cricket Association Stadium,Delhi Daredevils,Rising Pune Supergiant,205
2017,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians,158
2017,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,170
2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,142
2017,Saurashtra Cricket Association Stadium,Rising Pune Supergiant,Gujarat Lions,171
2017,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,172
2017,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,188
2017,Wankhede Stadium,Gujarat Lions,Mumbai Indians,176
2017,M Chinnaswamy Stadium,Rising Pune Supergiant,Royal Challengers Bangalore,161
2017,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,168
2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,159
2017,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,Gujarat Lions,213
2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,191
2017,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,198
2017,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,187
2017,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,142
2017,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Rising Pune Supergiant,176
2017,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,188
2017,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,131
